,회사명,거래소코드,회계년도,산업코드,회계년월,평가일,업종코드,소속코드,상장일,상장폐지일,신용등급,감사의견코드,감사의견,산업대분류,회계년도_new
56,(주)코스모스피엘씨,53170,2008/12,105802,2008/12,2008/04/23,01,04,2002/01/10,2009/04/30,B-,DU,"수익모델 창출 지연, 중단사업 자산 매각 지연 등으로 영업손실 2,583백만원, 당기순손실 31,491백만원 발생함. 또한 채무불이행등으로 자산이 압류되는 등 회사의 계속기업으로서 존속능력에 중대한 의문을 제기함.",10,2008
157,(주)아이디에이치,26230,2008/12,032902,,,01,04,1995/10/06,2009/04/29,,DU,"유동부채가 유동자산을 825억원 및 총부채가 총자산을 732억만큼 초과하고, 2008년 10월31일자로 회생절차개시결정 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.",03,2008
167,(주)에프아이투어,47370,2008/12,032604,,,01,04,2001/05/29,2009/04/11,,DU,"영업손실 346백만원, 당기순손실 19,598백만원 발생, 유동부채가 유동자산을 11,727백만원 초과하며 지급보증액 24,145백만원 우발채무 존재함. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
54,모빌링크텔레콤(주),41310,2008/12,032604,2008/12,2008/06/20,01,04,2000/05/09,2009/04/23,B+,DU,"매출채권 등 일부의 실재성과 관련하여 충분한 감사증거를 확인할 수 없었고, 총자산을 초과하는 총부채액 10,127백만원 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.",03,2008
177,(주)자강,36790,2008/12,032604,,,01,04,1999/12/16,2009/05/15,,DU,"영업손실 6,681백만원 및 당기순손실 28,795백만원 발생하고, 유동부채가 유동자산을 4,331백만원 초과하며 차입금 상환이 불이행되고 있음. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
52,(주)도움,78610,2008/12,032604,2008/12,2008/07/18,01,04,2005/05/09,2009/04/11,CCC,DU,"영업손실은 93억원 당기순손실 546억원, 유동부채가 유동자산을 375억원 초과하며, 총부채가 총자산을 198억원 초과함. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
120,(주)기린,6070,2008/12,031007,,,01,04,1989/06/20,2009/05/13,,DU,"유동자산을 초과하는 유동부채액 44,188백만원, 미처리결손금 24,522백만원, 3년간 영업손실이 발생하여, 누적영업손실액이 24,709백만원임. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
50,(주)엑스씨이,81500,2008/12,106201,2008/12,2008/08/28,01,04,2006/07/21,2009/04/29,p-B+/Stable,DU,"급격한 매출 감소 등으로 영업손실 및 당기순손실이 발생하고, 유동부채가 유동자산을 초과하는 등 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2008
184,(주)쿨투,56020,2008/12,032701,,,01,04,2003/07/04,2009/04/29,,DU,"영업손실 11,455백만원, 당기순손실 40,143백만원 발생, 유동부채가 유동자산을 42,516백만원 초과, 만기에 상환못한 차입금이 11,657백만원 있음. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
187,(주)포이보스,38810,2008/12,031802,,,01,04,2000/05/09,2009/04/11,,DU,"제3자 채무에 대한 지급보증 19,368백만원과 각종  투자원리금 상환 지급보증 12,042백만원 등 우발채무 31,410백만원 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
48,(주)디에스피이엔티,16040,2008/12,033003,2008/12,2008/12/18,01,04,1993/12/07,2009/04/11,D,DU,유동부채가 유동자산을 110억원만큼 초과하고 누적결손으로 인하여 총부채가 총자산을 81억원 초과하며 2008년 회생절차를 진행중임. 이러한 사아황은 게속기업으로서의 존속능력에 중대한 의문을 제기함.,03,2008
49,(주)씨앤중공업,8400,2008/12,033002,2008/12,2008/10/27,01,04,1987/11/18,2009/05/13,B,DU,"당기 영업손실과 당기순손실 발생 및 유동부채가 유동자산을 초과, 관계회사에 대한 지급보증액에 대한 우발채무를  가지고 있는 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함",03,2008
182,(주)청람디지탈,35270,2007/12,032605,,,01,04,1999/08/13,2008/04/23,,DU,"당기 중 10,639백만원의영업손실, 18,021백만원의 당기순손실 및 21,202백만원의 부의 영업현금흐름을 시현하고 있는 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2007
213,플래닛팔이(주),57330,2007/12,032801,,,01,04,2001/12/20,2008/04/23,,DU,"자산총액의 72%를 차지한 개발성격의 무형자산에 대한 신뢰성을 부여할 수 없고, 대표이사 등의 구속 등의 상황은 계속기업으로서 존속능력에 중대한 의문 제기함.",03,2007
246,한국통신데이타(주),45760,2007/12,105802,,,01,04,2002/04/23,2008/06/13,,DS,현금및현금성자산 중 우발채무 및 충당부채의 계상에 관련된 정기예금에 대하여 감사범위제한 때문에 회계감사기준에서 요구하는 적절한 감사절차를 수행할 수 없었음.,10,2007
84,(주)두림티앤씨,33330,2007/12,032202,,,01,04,1997/11/03,2008/05/03,,DS,"감사범위의 제한으로 매출거래의 실재성, 지분법적용투자주식과 관련한 기중 거래의 적정석 등에 대해 회계감사기분에서 요구하는 감사절차를 취하지 못함.",03,2007
199,마이크로닉스(주),1190,2007/12,031301,,,01,04,1988/10/20,2009/04/27,,DU,"당기에 영업손실 22,950백만원, 회사의 금융자산 및 부동산 등에 가압류 등이 집행되어 있는 등의 상황은 계속기업으로서 존속능력에 중대한 의문 제기함.",03,2007
64,(주)한도하이테크,60660,2007/12,106201,2007/12,2007/05/21,01,04,2002/02/21,2008/05/03,B+,DS,"감사범위 제한 때문에 현금흐름표, 결손금처리계산서, 자본변동표를 제시받지 못하였음.",10,2007
252,(주)에너윈,55970,2007/12,106309,,,01,04,2003/08/01,2008/05/03,,DU,"당기순손실 15,959백만원, 당기말 현재 미처리결손금 77,612백만원, 회사의 금융자산 등에 대한 가압류 등이 집행되는 등의 상황은 계속기업으로서 존속능력에 중대한 의문 제기함.",10,2007
65,(주)세라온홀딩스,50600,2007/12,032602,2007/12,2007/05/10,01,04,2001/06/21,2008/09/09,-,DS,"투자관련미수금으로 기재된 22,129백만원에 대한 그 지출의 정당성 및 실재성 확인과 회수가능성에 대해 적절한 감사절차를 수행하지 못하였음.",03,2007
191,(주)한텔,41940,2007/12,032604,,,01,04,2001/07/24,2008/04/23,,DU,"총부채액이 총자산을 1,655백만원 초과, 회사의 자산 등의 가압류 상태 등의 상황은 계속기업으로서 존속능력에 중대한 의문 제기함.",03,2007
206,에스와이(주),4530,2007/12,031006,,,01,04,1988/06/18,2008/04/22,,DU,"총자산을 초과한 총부채액이 104억원, 회사의 전 대표이사 횡령사고와 관련한 우발사항이 존재하는 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.",03,2007
264,유씨아이콜스(주),65810,2007/12,106201,,,01,04,2003/02/12,2008/04/17,,DU,"횡령사건과 영업중단 등, 회사명의로 이루어진 전 대표이사의 차입 및 보증으로 인한 우발채무는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기하고 있음.",10,2007
234,(주)시큐어소프트,37060,2006/12,105802,,,01,04,2001/08/14,2007/04/04,,DS,"전임 대표이사의 불법행위미수금 관련과 지분법적용투자주식의 매각거래등에 대한 내부통제가 불비하고 관련 회계기록의 부실, 우발채무로 인한 불확실성 등이 존재함.",10,2006
171,(주)예일바이오텍,54250,2006/12,032901,,,01,04,2001/12/20,2007/04/11,,DU,"완전자본잠식에 따른 계속기업가정의 중대한 불확실성, 내부통제제도의 중대한 취약성, 피투자회사 감사범위의 제한 등의 중요성 때문에 2006년 재무제표에 대한 의견을 표명하지 아니함",03,2006
247,(주)레이더스컴퍼니,47420,2006/03,105802,,,01,04,2002/07/19,2006/07/13,,DU,"영업손실과 당기순손실이 각각 4,102백만원과 10,594백만원, 대차대조표일 이후 재발생한 대여금 7,125백만원의 회수불확실성 존재하는 상황등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2006
80,인터피온반도체(주),14010,2005/06,032601,2005/06,1999/03/26,01,04,1989/06/21,2005/12/28,C,DU,"당기순손실 6,839백만원, 누적결손금 14,511백만원 등 계속기업으로서 존속능력에 중대한 의문 제기",03,2005
152,(주)씨크롭,16970,2005/12,032501,,,01,04,1989/09/12,2006/07/13,,DU,"회사의 회계관련 증빙의 부실로 회계감사기준에서 요구하는 감사절차를취하지 못하였으며 누적결손금 550,260백만 원 발생 등의 상황은 회사의 계속기업으로서의 존속능력 중대한 의문을 제기함.",03,2005
108,신광기업(주),1580,2005/03,032804,,,01,04,1988/10/26,2005/08/05,,DS,"선급금 및 임차보증금의 기중거래금액에 대한 내부통제가 불비하고 관련 회계기록의 부실로 인하여 이사회결의, 입출금증빙 확인 등 회계감사기준에서 요구하는 감사절차를 수행하지 못함",03,2005
139,(주)세니콘,56060,2005/12,032604,,,01,04,2002/01/15,2006/04/08,,DU,"계열회사인 ICX Global, Inc.에 대한 감사 절차를 취하지 못하였으며,  유동부채가 유동자산을 14,975백만원만큼 초과하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2005
207,에이피이우주통신(주),15670,2005/12,032605,,,01,04,1991/02/08,2007/09/12,,DU,"계속적인 영업손실로 인하여 누적순손실이 12,806백만원이며, 전 대표이사의 가공매출(3,139백만원)을 통한 횡령 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2005
77,(주)아이엠아이티,38100,2004/12,105802,2004/12,2002/07/05,01,04,2000/01/13,2005/04/08,P-B+,DU,"총자산 초과 총부채액이 5,701백만원,  차입금관련 원리금 상환 불가 등의 상황은 계속기업으로서 존속능력에 중대한 의문 제기",10,2004
281,(주)베네데스하이텍,9360,2004/12,074608,,,01,04,1990/01/29,2005/04/15,,DU,"13,846백만원의 당기순손실 발생, 2003년 10월에서 현재까지 정상적인 영업활동이 수행되지 못하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",07,2004
70,(주)택산아이엔씨,36900,2004/12,032901,2004/12,2003/12/24,01,04,2000/01/11,2005/04/23,B+,DU,"경상손실이 859억원이 발생하였고, 동일자 현재 유동자산을 초과한 유동부채액이 513억원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
71,(주)엔에스아이,53250,2004/12,032603,2004/12,2003/06/30,01,04,2001/07/20,2005/04/02,B+,DU,"유동부채가 유동자산을 2,806백만원 초과, 보증료 미납으로 회사 토지 등 가압류, 회사가 회수했다고 하는 횡령미수금 등에 대한 감사증거 확보 불가 등의 상황은 계속기업으로서 중대한 의문 제기",03,2004
123,(주)동방라이텍,25690,2004/12,032804,,,01,04,1997/07/04,2005/03/12,,DU,"영업손실이 14,549백만원 발생, 유동자산을 초과하는 유동부채가 7,168백만원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
103,(주)한메엔에스,6150,2004/12,032602,,,01,04,1994/08/12,2005/04/08,,DS,"현금흐름표 및 재무제표에 대한 주석자료를 입수하지 못하였으며, 매출채권 13,611백만원과 장기투자증권 10,460백만원의 회수가능성 등에 대해서도 충분하고 적합한 감사증거를 확보할  수 없었음",03,2004
69,(주)한신코퍼레이션,37120,2004/06,105901,2004/06,2003/12/30,01,04,1999/11/18,2004/10/21,B-,DU,"전 대표이사 김진호의 유용 및 횡령, 회사명의로 발행된 은행도 어음이외의 회사발행 어음 600백만원에 대한 우발채무 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",10,2004
160,(주)업필,54370,2004/12,032604,,,01,04,2001/11/20,2005/04/12,,DU,"당기순손실 13,651백만원, 유동자산을 초과하는 유동부채가 6,304백만원 인 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
74,(주)맥시스템,36880,2004/12,032604,2004/12,2003/01/28,01,04,1999/12/07,2005/03/31,P-B-,DU,"10,853백만원의 경상손실 발생, 유동자산을 초과한 유동부채 8,069백만원  발생 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
178,(주)지니웍스,36600,2004/12,031302,,,01,04,2000/01/11,2005/04/02,,DU,"총부채가 총자산을 1,200백만원 초과, 채무재조정 협의 불가, 보유중인 자회사 주식, 단기대여금 등에 대한 감사범위 제한으로 충분한 감사 불가 등의 상황은 계속기업으로서 존속능력에 중대한 의문 제기",03,2004
242,(주)하우리,49130,2004/12,105802,,,01,04,2002/01/22,2005/04/05,,DS,"한컴리눅스와의 자금거래에 대한 내부통제 불비, 부동산 매입거래와 관련하여 건설중인자산의 취득 및 관련 지출증빙의 제시가 불충분하여 부동산 매입거래의 적정성을 확인할 수 없었음",10,2004
145,(주)슈마일렉트론,56500,2004/12,032603,,,01,04,2002/06/04,2005/04/05,,DU,"하반기 매출의 급감으로 매출총손실 1,079백만원, 당기순손실이 5,493백만원 발생 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
144,(주)셰프라인,12250,2004/12,032509,,,01,04,1993/02/05,2005/04/15,,DU,"유동자산을 초과한 유동부채액이 200백만원, 자본잠식률이 약 70%, 사용내역이 미확인된 다수의 어음, 수표 등의 우발채무 존재 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
142,(주)센추리,6750,2004/12,032901,,,01,04,1989/11/09,2005/04/14,,DU,"36,563백만원 경상순손실 발생, 유동자산을 초과하는 유동부채 20,195백만원 발생하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
138,(주)성진산업,37650,2004/12,032509,,,01,04,1999/12/24,2005/04/05,,DU,"경상손실 35,241백만원 발생, 유동자산을 초과하는 유동부채가 16,599백만원 초과하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문이 제기됨",03,2004
181,(주)창민테크,42960,2004/12,032702,,,01,04,2000/07/11,2005/04/13,,DU,"경상손실 27,837백만원 발생, 유동자산을 초과하는 유동부채가 6,870백만원인 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
73,텔슨정보통신(주),18180,2004/12,032604,2004/12,2003/05/09,01,04,1993/06/03,2005/04/07,BB-,DU,"29,807백만원의 경상손실 발생, 총자산을 초과하는 유동부채액이 26,623백만원, 관계회사 지급보증으로 인한 우발채무 729백만원 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
200,맥슨텔레콤(주),9890,2004/12,032604,,,01,04,1984/12/13,2005/04/21,,DU,"총자산 초과 총부채액 41,092백만원, 유동성부족으로 인하여 만기도래한 단기차입금 5,772백만원을 연체 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2004
197,디이시스(주),53200,2003/12,032801,,,01,04,2001/12/26,2004/04/03,,DU,"최대주주 등의 부정으로 회사의 약속어음 15매가 불법적으로 인출, 사용되었으며 이로 인해 회사가 향후 부담하여야 할 우발채무금액은 예측할 수 없음",03,2003
72,한국코아(주),10150,2003/12,032602,2003/12,2003/06/26,01,04,1987/09/10,2004/04/23,BB+,DU,"경상손실 17,138백만원이 발생, 현금및 현금등가물 중 상당금액이 차입금관련하여 담보로 제공되는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
78,엔써커뮤니티(주),37750,2003/12,106201,2003/12,2001/06/14,01,04,2000/11/09,2004/04/13,BB-,DU,"경상순손실 9,787백만원이 발생, 동 일자 현재 유동자산을 초과하는 유동부채액이 13,296백만원이 발생하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기",10,2003
76,(주)트래픽아이티에스,38050,2003/12,032809,2003/12,2002/07/31,01,04,2002/01/10,2004/04/15,P-B+,DU,"경상손실 5,175백만원과 부(-)의 영업활동으로 인한 현금흐름은 3,015백만원을 시현, 2,817백만원의 은행차입금의 연체 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
208,엠바이엔(주),31970,2003/12,032603,,,01,04,1997/01/07,2004/04/07,,DU,"유동부채가 유동자산을 172억원 초과하고 있으며, 총부채가 총자산을 133억원 초과하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기하게 함",03,2003
75,삼도물산(주),2930,2003/12,031401,2003/12,2002/12/23,01,04,1976/04/28,2004/05/08,B,DS,재무재표 및 재무제표에 대한 주석자료를 포함한 감사절차 실시에 필요한 자료를 제공받지 못하였음.,03,2003
93,(주)월드텔레콤,47610,2003/12,032605,,,01,04,2000/12/12,2004/04/08,,DS,"2004년 1월 27일부터 노조의 파업으로 인하여 감사일 현재까지 조업이 중단되어 있으며, 이 때문에 회사는 회계에 관한 자료를 제시하지 못하였음",03,2003
202,삼화기연(주),33210,2003/12,032801,,,01,04,1997/10/13,2004/03/31,,DU,"총부채가 총자산을 2,345백만원 초과, 내부제도상의 문제발생, 전 대주주들의 금융자산이 업무상 횡령, 배임등으로 사외 유출되는 등의 상황 등으로 계속기업으로서의 존속능력에 중대한 의문이 제기됨",03,2003
122,(주)넷컴스토리지,37010,2003/12,032603,,,01,04,1999/12/21,2004/04/08,,DU,"누적결손금 15,903백만원, 유동부채가 유동자산을 3,147백만원을 초과하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
262,(주)한빛네트,36720,2003/12,105802,,,01,04,2001/11/08,2004/04/08,,DU,"유동자산을 초과한 유동부채가 2,793백만원, 당기순손실 13,684백만원이 발생하는 등의 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함",10,2003
261,(주)피코소프트,39580,2003/12,105802,,,01,04,2000/07/06,2004/04/07,,DU,"매출실적의 저조, 경상손실 8,178백만원의 발생 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",10,2003
173,(주)윌텍정보통신,39390,2003/12,032604,,,01,04,2000/07/25,2004/04/09,,DU,"당기순손실이 7,057백만원, 유동자산을 초과하는 유동부채가 2,859백만원 발생하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
149,(주)써미트테크놀로지,39000,2003/12,032603,,,01,04,2002/01/31,2004/04/13,,DU,"영업손실 15,042백만원 발생, 유동자산 초과하는 유동부채액이 11,175백만원 발생하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
253,(주)엔플렉스,40130,2003/12,105802,,,01,04,2000/05/03,2004/04/03,,DU,"내부통제제도 및 회계기록 부실로 인하여 금액의 정확성 및 자산의 실재성, 계정과목의 적정성, 대손충당금의 적정성 및 자금거래와 관련한 적법성 여부를 확인할 수 없었음",10,2003
233,(주)동서정보기술,55000,2003/12,105802,,,01,04,2001/12/18,2004/04/03,,DS,"내부통제제도가 전반적으로 취약하며, 회사에 의한 감사범위의 제한 때문에 어음과 수표의 실사입회를 실시할 수 없었음",10,2003
136,(주)부흥,3930,2003/12,031401,,,01,04,1976/06/30,2004/06/29,,DU,"당기순손실이 34,825백만원이고, 당기말 현재 유동자산을 초과하는 유동부채는 3,985백만원 발생하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
114,코리아이앤디(주),27440,2003/12,032802,,,01,04,1996/03/07,2004/04/14,,DS,회사의 회계기록의 부실로 회계감사기준에서 요구하는 감사절차를 취하지 못하였음,03,2003
133,(주)바이오시스,35960,2003/12,032701,,,01,04,1999/12/03,2004/04/07,,DU,"유동부채가 유동자산을 3,219백만원 초과, 매출채권 등에대해 가압류 설정 등의 상황은 회사의 계속기업의 존속능력에 중대한 의문을 제기함",03,2003
126,(주)리더컴,56140,2003/12,032604,,,01,04,2001/12/20,2004/03/30,,DU,"총부채가 총자산을 12,303백만원 초과하며. 회사가 피고로서 계류중인 소송금액이 12,634백만원에 이르는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
151,(주)씨모스,37600,2003/12,032902,,,01,04,1999/12/24,2004/03/24,,DU,"3년연속 당기순손실 발생, 감사보고서일 현재 정상적인 영업활동이 이루어지지 아니하고 있는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함",03,2003
287,(주)올에버,34970,2002/12,074604,,,01,04,1999/05/14,2003/04/15,,DU,"순손실이 51,555백만원, 총부채가 총자산을 13,941백만원 초과하는 등 중대한 불확실성이 존재함",07,2002
198,리타워테크놀러지스(주),20860,2002/12,032901,,,01,04,1991/03/25,2003/04/11,,DU,"국세확정 전 보전압류, 부천공장의 가동중단, 유동부채가 유동자산을 1,086백만원 초과하는 등의 중요한 불확실성이 존재함",03,2002
79,(주)삼애인더스,9330,2002/06,031401,2002/06,2000/08/00,01,04,1989/11/11,2002/10/22,B-,DS,감사범위의 제한으로 지분법적용을 위한 감사절차를 수행하지 못하였고 (주)지엔지에 대한 단기대여금 등의 기중거래 및 평가를 위한 적절한 감사 절차를 수행하지 못함,03,2002
146,(주)스마텔,4190,2002/06,032901,,,01,04,1977/06/22,2004/03/31,,DU,"유동부채가 유동자산을 9,108백만원을 초과하고 누적결손금이 38,105백만원에 달하며 대표이사 이용호가 주가조작 및 횡령으로 구속 기소되는 등 계속기업으로서의 존속능력에 중대한 의문이 제기됨",03,2002
100,(주)태영텔스타,60840,2002/12,032605,,,01,04,2002/02/07,2003/04/02,,DS,"회계기록의 부실로 매출, 매출원가, 매출채권, 재고자산관련 계정에 대하여 감사절차를 수행하지 못하였음.",03,2002
118,(주)갑을,9840,2002/12,031304,,,01,04,1989/08/01,2003/04/16,,DU,"총자산을 초과하는 총부채액이 196,225백만원이며 특수관계자 등으로부터 미회수된 채권 등의 불확실성으로 계속기업으로서의 존속능력에 중대한 의문이 제기됨",03,2002
104,대우전자(주),7410,2001/12,032605,,,01,04,1984/01/21,2002/04/13,,DS,해외자회사에 대한 감사가 종료되지않아 충분한 감사 절차를 취하지 못하였음,03,2001
211,인천정유(주),6290,2001/12,031902,,,01,04,1987/09/10,2002/04/23,,DU,회사정리절차를 수행 중이고 추가적인 자금지원 및 채무재조정안등에 불확실성이 존재,03,2001
106,대일화학공업(주),3110,2001/12,032102,,,01,04,1977/06/29,2002/04/19,,DS,"매입채무, 미지급금등에 대한 충분한 설명과 감사증거를 확보하지 못하였음",03,2001
284,(주)아이넥스테크놀로지,8440,2001/12,074607,,,01,04,1988/06/20,2002/04/23,,DU,총부채액이 총자산액을 초과하는 등 계속기업으로서의 존속여부가 불확실함.,07,2001
113,케이이피전자(주),8480,2001/12,032605,,,01,04,1987/07/24,2002/04/19,,DS,내부관리회계제도의 미비와 투자유가증권에 대한 자료 등 감사절차 실시에 필요한 자료를 제공받지 못하였음.,03,2001
128,(주)메디슨,18360,2001/12,032701,,,01,04,1996/01/30,2002/04/27,,DU,자산부채 및 관련 손익항목에 대한 합리적 추정을 위한 감사증거를 확보하지 못하였음,03,2001
215,한보철강공업(주),1920,2001/12,032401,,,01,04,1977/09/21,2002/04/19,,DU,회사정리계획이 진행 중이고 이로 인해 대부분의 자산이 매각되고 청산절차를 밟아야 함으로 계속기업의 존속이 의문시됨,03,2001
176,(주)이트로닉스,13090,2001/12,032605,,,01,04,1986/11/20,2002/04/27,,DU,본사는 현재 자본장식상태이고 경영개선계획이 성패에 따른 불확실성이 존재,03,2001
195,대우통신(주),5060,2000/12,032604,,,01,04,1987/05/29,2002/04/19,,DU,"누적결손금 12,129억원, 총부채가 총자산을 11,447억원 초과함. 계속기업으로서의 존손가능성에 중요한 불확실성 존재함.",03,2000
194,다산,15150,2000/12,032402,,,01,04,1997/01/07,2001/09/18,,DU,"누적결손금이 9,178백만원등 중대한 불확실성이 존재함.",03,2000
216,해태유업(주),3900,2000/06,031005,,,01,04,1979/02/15,2004/03/11,,DU,경영개선계획의 성패와 우발채무의 최종결과 그리고 채권단의 결정에 따라 좌우되는 중요한 불확실성을 배포하고 있음.,03,2000
131,(주)바로크가구,17120,2000/12,033201,,,01,04,1989/12/18,2001/07/10,,DU,"경상손실 23,819백만원 발생, 총자산을 초과한 총부채액이 132,195백만원 발생함. 회사의 계속기업으로서의 존속 능력에 중대한 의문을 제기함.",03,2000
135,(주)보성인터내셔날,33300,2000/12,031401,,,01,04,1997/11/10,2001/05/25,,DU,"경상손실 29,507백만원, 총자산을 초과한 총부채액이 38,392백만원임. 계속기업으로서의 존속능력에 중대한 의문이 제기됨.",03,2000
290,(주)태화쇼핑,15880,2000/12,074701,,,01,04,1994/11/05,2001/09/22,,DU,"경상순손실 22,543백만원 상거래 정리채권 5,996백만원 이자 4,756백만원 미상환",07,2000
237,(주)애드모바일,32600,2000/12,105802,,,01,04,1997/05/02,2003/10/30,,DS,미회수어음 및 수표와 관련된 채무에 대한 조회 미실시함.,10,2000
85,(주)레이디,25840,2000/12,033201,,,01,04,1995/10/05,2002/01/23,,DS,"은행조회서의 미회수, 부외부채 및 채권 채무 잔액 미확인, 재고자산 7,300백만원 실사 미참여, 매출채권 및 대손충당금, 기타 특별손실 등에 대한 합리적 증거자료 미제출.",03,2000
105,대우중공업(주),200,2000/12,032901,,,01,04,1966/03/18,2001/05/23,,DS,"금융자산 및 차입금, 채권, 채무잔액 미확인, 회계기록의 부실로 이익잉여금의 변동내역 및 손익계정에 대한 감사 미실시.",03,2000
102,(주)풍연,17090,2000/12,031401,,,01,04,1991/10/07,2001/05/25,,DS,"손익계산서, 결손금처리 계산서 및 현금흐름표 감사하지 못함.",03,2000
279,(주)대우,3810,2000/12,074607,,,01,04,1977/06/30,2001/05/23,,DU,"총부채가 총자산보다 14,031,384백만원 초과,누적결손금이 14,917,023백만원임. 계속기업으로서의 존속능력에 중대한 의문을 불러 일으킴.",07,2000
116,한별텔레콤(주),16550,2000/12,032605,,,01,04,1989/08/25,2002/04/19,,DS,내부통제제도에 대한 중대한 취약성과 경영자의 정직 및 성실성에 대한 의문제기 및 투자유가증권의 평가와 관련된 감사 증거를 입수하지 못함.,03,2000
